,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank
58,KNN,30,MCAR,0.1,eccen,downstream_performance_mean,F1_macro,0.6898653763326851,0.0,0.6829631651392223,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
59,Mean/Mode,30,MCAR,0.1,eccen,downstream_performance_mean,F1_macro,0.728313551031602,0.0,0.735652280969096,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
60,Mean/Mode,30,MCAR,0.3,eccen,downstream_performance_mean,F1_macro,0.6479933678644966,0.0,0.6860457714414109,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
61,KNN,30,MCAR,0.3,eccen,downstream_performance_mean,F1_macro,0.7222853009784144,0.0,0.7262553079855817,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
62,Mean/Mode,30,MCAR,0.5,eccen,downstream_performance_mean,F1_macro,0.6984789906653478,0.0,0.6942905330510366,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
63,KNN,30,MCAR,0.5,eccen,downstream_performance_mean,F1_macro,0.7693204461625515,0.0,0.7490734100165314,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
64,KNN,30,MNAR,0.01,eccen,downstream_performance_mean,F1_macro,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
65,Mean/Mode,30,MNAR,0.01,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
66,KNN,30,MNAR,0.1,eccen,downstream_performance_mean,F1_macro,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
67,Mean/Mode,30,MNAR,0.1,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
68,KNN,30,MNAR,0.3,eccen,downstream_performance_mean,F1_macro,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
69,Mean/Mode,30,MNAR,0.3,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
70,KNN,30,MNAR,0.5,eccen,downstream_performance_mean,F1_macro,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
