,Imputation_Method_average,Imputed_average,Data_Constellation,Downstream Performance Rank Average,Imputation_Method_best,Imputed_best,Downstream Performance Rank Best,Performance Difference Best to Average,Performance Difference Best to Average in Percentage
100,Random Forest,0.9951372302181104,MCAR - 0.01 - 923,1.0,Random Forest,0.9951372302181104,1.0,0.0,0.0
101,Random Forest,0.9838465734924184,MCAR - 0.1 - 923,2.0,KNN,0.9857858442735256,1.0,0.0019392707811071164,0.19672333421832217
102,Random Forest,0.9469714681800728,MCAR - 0.3 - 923,2.0,VAE,0.9506590522703046,1.0,0.0036875840902317325,0.38789764652482656
103,Random Forest,0.9474838963196952,MCAR - 0.5 - 923,1.0,Random Forest,0.9474838963196952,1.0,0.0,0.0
104,Random Forest,0.9929893847364024,MNAR - 0.01 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0,0.0
105,Random Forest,0.9929893847364024,MNAR - 0.1 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0,0.0
106,Random Forest,0.9929893847364024,MNAR - 0.3 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0,0.0
107,Random Forest,0.9929893847364024,MNAR - 0.5 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0,0.0
108,Random Forest,0.7910531156720516,MAR - 0.01 - 1046,3.0,Mean/Mode,0.7910531156720516,1.0,0.0,0.0
109,Random Forest,0.7910531156720516,MAR - 0.1 - 1046,3.0,Mean/Mode,0.7910531156720516,1.0,0.0,0.0
110,Random Forest,0.7910531156720516,MAR - 0.3 - 1046,3.0,Mean/Mode,0.7910531156720516,1.0,0.0,0.0
111,Random Forest,0.7910531156720516,MAR - 0.5 - 1046,3.0,Mean/Mode,0.7910531156720516,1.0,0.0,0.0
112,Random Forest,0.7904583486810877,MCAR - 0.01 - 1046,1.0,Random Forest,0.7904583486810877,1.0,0.0,0.0
113,Random Forest,0.7925161788265102,MCAR - 0.1 - 1046,3.0,VAE,0.795111321719217,1.0,0.002595142892706792,0.32638736511706123
114,Random Forest,0.78952448895005,MCAR - 0.3 - 1046,2.0,VAE,0.7915507334374013,1.0,0.0020262444873513363,0.25598415891197945
115,Random Forest,0.7914053535991942,MCAR - 0.5 - 1046,1.0,Random Forest,0.7914053535991942,1.0,0.0,0.0
116,Random Forest,0.7910531156720516,MNAR - 0.01 - 1046,3.0,Mean/Mode,0.7910531156720516,1.0,0.0,0.0
117,Random Forest,0.7910531156720516,MNAR - 0.1 - 1046,3.0,Mean/Mode,0.7910531156720516,1.0,0.0,0.0
118,Random Forest,0.7910531156720516,MNAR - 0.3 - 1046,3.0,Mean/Mode,0.7910531156720516,1.0,0.0,0.0
119,Random Forest,0.7910531156720516,MNAR - 0.5 - 1046,3.0,Mean/Mode,0.7910531156720516,1.0,0.0,0.0
120,Random Forest,0.7606412742786901,MAR - 0.01 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0,0.0
121,Random Forest,0.7606412742786901,MAR - 0.1 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0,0.0
122,Random Forest,0.7606412742786901,MAR - 0.3 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0,0.0
123,Random Forest,0.7606412742786901,MAR - 0.5 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0,0.0
124,Random Forest,0.7598164154316077,MCAR - 0.01 - 1120,1.0,Random Forest,0.7598164154316077,1.0,0.0,0.0
125,Random Forest,0.757744738196048,MCAR - 0.1 - 1120,3.0,KNN,0.7584179057263163,1.0,0.0006731675302682483,0.08875944583924003
126,Random Forest,0.7502936159263666,MCAR - 0.3 - 1120,3.0,Mean/Mode,0.7554883630995496,1.0,0.005194747173183023,0.6876012162345535
127,Random Forest,0.7557145287912591,MCAR - 0.5 - 1120,1.0,Random Forest,0.7557145287912591,1.0,0.0,0.0
128,Random Forest,0.7606412742786901,MNAR - 0.01 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0,0.0
129,Random Forest,0.7606412742786901,MNAR - 0.1 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0,0.0
130,Random Forest,0.7606412742786901,MNAR - 0.3 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0,0.0
131,Random Forest,0.7606412742786901,MNAR - 0.5 - 1120,3.0,Mean/Mode,0.7606412742786901,1.0,0.0,0.0
132,Random Forest,0.5515889578625556,MAR - 0.01 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0,0.0
133,Random Forest,0.5515889578625556,MAR - 0.1 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0,0.0
134,Random Forest,0.5515889578625556,MAR - 0.3 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0,0.0
135,Random Forest,0.5515889578625556,MAR - 0.5 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0,0.0
136,Random Forest,0.5507270660059743,MCAR - 0.01 - 1471,1.0,Random Forest,0.5507270660059743,1.0,0.0,0.0
137,Random Forest,0.5513945054238186,MCAR - 0.1 - 1471,3.0,Mean/Mode,0.552040390220067,1.0,0.000645884796248386,0.11699955432444148
138,Random Forest,0.5460014546997302,MCAR - 0.3 - 1471,3.0,KNN,0.547395946036074,1.0,0.0013944913363438394,0.25475002992659007
139,Random Forest,0.5376759544991333,MCAR - 0.5 - 1471,1.0,Random Forest,0.5376759544991333,1.0,0.0,0.0
140,Random Forest,0.5515889578625556,MNAR - 0.01 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0,0.0
141,Random Forest,0.5515889578625556,MNAR - 0.1 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0,0.0
142,Random Forest,0.5515889578625556,MNAR - 0.3 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0,0.0
143,Random Forest,0.5515889578625556,MNAR - 0.5 - 1471,3.0,Mean/Mode,0.5515889578625556,1.0,0.0,0.0
144,Random Forest,0.6966818891700025,MAR - 0.01 - 1489,2.0,Mean/Mode,0.6966818891700025,1.0,0.0,0.0
145,Random Forest,0.6966818891700025,MAR - 0.1 - 1489,2.0,Mean/Mode,0.6966818891700025,1.0,0.0,0.0
146,Random Forest,0.6966818891700025,MAR - 0.3 - 1489,2.0,Mean/Mode,0.6966818891700025,1.0,0.0,0.0
147,Random Forest,0.6966818891700025,MAR - 0.5 - 1489,2.0,Mean/Mode,0.6966818891700025,1.0,0.0,0.0
148,Random Forest,0.6950703686226533,MCAR - 0.01 - 1489,4.0,VAE,0.697620272010246,1.0,0.0025499033875927557,0.365514519846881
149,Random Forest,0.6902134161839952,MCAR - 0.1 - 1489,3.0,KNN,0.6912107977607453,1.0,0.0009973815767501115,0.14429484897823366
150,Random Forest,0.655114652898266,MCAR - 0.3 - 1489,1.0,Random Forest,0.655114652898266,1.0,0.0,0.0
151,Random Forest,0.6848028998330467,MCAR - 0.5 - 1489,3.0,Mean/Mode,0.6923320762434119,1.0,0.007529176410365213,1.0875094002893038
152,Random Forest,0.6966818891700025,MNAR - 0.01 - 1489,2.0,Mean/Mode,0.6966818891700025,1.0,0.0,0.0
153,Random Forest,0.6966818891700025,MNAR - 0.1 - 1489,2.0,Mean/Mode,0.6966818891700025,1.0,0.0,0.0
154,Random Forest,0.6963989503155196,MNAR - 0.3 - 1489,4.0,Mean/Mode,0.6966818891700025,1.0,0.0002829388544829392,0.040612345301529316
155,Random Forest,0.6966818891700025,MNAR - 0.5 - 1489,2.0,Mean/Mode,0.6966818891700025,1.0,0.0,0.0
156,Random Forest,0.7723727286709292,MAR - 0.01 - 1496,2.0,Mean/Mode,0.7723727286709292,1.0,0.0,0.0
157,Random Forest,0.7723727286709292,MAR - 0.1 - 1496,2.0,Mean/Mode,0.7723727286709292,1.0,0.0,0.0
158,Random Forest,0.7723727286709292,MAR - 0.3 - 1496,2.0,Mean/Mode,0.7723727286709292,1.0,0.0,0.0
159,Random Forest,0.7723727286709292,MAR - 0.5 - 1496,2.0,Mean/Mode,0.7723727286709292,1.0,0.0,0.0
160,Random Forest,0.7716792761268061,MCAR - 0.01 - 1496,3.0,Mean/Mode,0.7716792761268061,1.0,0.0,0.0
161,Random Forest,0.772834788168753,MCAR - 0.1 - 1496,2.0,VAE,0.7730855682269758,1.0,0.00025078005822287697,0.032438848754870124
162,Random Forest,0.7701218854559909,MCAR - 0.3 - 1496,4.0,Mean/Mode,0.771478614469315,1.0,0.001356729013324065,0.17586087130326125
163,Random Forest,0.7717698463181096,MCAR - 0.5 - 1496,1.0,Random Forest,0.7717698463181096,1.0,0.0,0.0
164,Random Forest,0.7723727286709292,MNAR - 0.01 - 1496,2.0,Mean/Mode,0.7723727286709292,1.0,0.0,0.0
165,Random Forest,0.7723727286709292,MNAR - 0.1 - 1496,2.0,Mean/Mode,0.7723727286709292,1.0,0.0,0.0
166,Random Forest,0.7723727286709292,MNAR - 0.3 - 1496,2.0,Mean/Mode,0.7723727286709292,1.0,0.0,0.0
167,Random Forest,0.7723727286709292,MNAR - 0.5 - 1496,2.0,Mean/Mode,0.7723727286709292,1.0,0.0,0.0
168,Random Forest,0.9810611600222292,MAR - 0.01 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0,0.0
169,Random Forest,0.9810611600222292,MAR - 0.1 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0,0.0
170,Random Forest,0.9810611600222292,MAR - 0.3 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0,0.0
171,Random Forest,0.9810611600222292,MAR - 0.5 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0,0.0
172,Random Forest,0.9803856244724524,MCAR - 0.01 - 1507,4.0,VAE,0.9806108029890448,1.0,0.00022517851659242805,0.02296308748649832
173,Random Forest,0.9799329727258348,MCAR - 0.1 - 1507,4.0,VAE,0.9808342562979696,1.0,0.0009012835721348145,0.09188948758137702
174,Random Forest,0.9806102292593336,MCAR - 0.3 - 1507,3.0,Mean/Mode,0.9810594460177634,1.0,0.00044921675842979347,0.045788943804905766
175,Random Forest,0.9799361432049142,MCAR - 0.5 - 1507,1.0,Random Forest,0.9799361432049142,1.0,0.0,0.0
176,Random Forest,0.9810611600222292,MNAR - 0.01 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0,0.0
177,Random Forest,0.9810611600222292,MNAR - 0.1 - 1507,3.0,Mean/Mode,0.9810611600222292,1.0,0.0,0.0
