,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank,Data_Constellation
75,KNN,32,MAR,0.1,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MAR - 0.1
77,KNN,32,MAR,0.3,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MAR - 0.3
79,KNN,32,MAR,0.5,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MAR - 0.5
81,Mean/Mode,32,MCAR,0.01,input4,downstream_performance_mean,F1_macro,0.9325430126265633,0.0,0.9330203589044932,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MCAR - 0.01
83,KNN,32,MCAR,0.1,input4,downstream_performance_mean,F1_macro,0.9237108859795992,0.0,0.9237835063754,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MCAR - 0.1
85,KNN,32,MCAR,0.3,input4,downstream_performance_mean,F1_macro,0.9097488513523558,0.0,0.911122443245116,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MCAR - 0.3
87,KNN,32,MCAR,0.5,input4,downstream_performance_mean,F1_macro,0.9054491432453494,0.0,0.905122941174949,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MCAR - 0.5
89,KNN,32,MNAR,0.01,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MNAR - 0.01
91,KNN,32,MNAR,0.1,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MNAR - 0.1
93,KNN,32,MNAR,0.3,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MNAR - 0.3
95,KNN,32,MNAR,0.5,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MNAR - 0.5
96,Mean/Mode,137,MAR,0.01,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MAR - 0.01
98,Mean/Mode,137,MAR,0.1,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MAR - 0.1
100,Mean/Mode,137,MAR,0.3,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MAR - 0.3
102,Mean/Mode,137,MAR,0.5,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MAR - 0.5
105,KNN,137,MCAR,0.01,top-middle-square,downstream_performance_mean,F1_macro,0.6698587763408863,0.0,0.6698914478885554,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MCAR - 0.01
107,Mean/Mode,137,MCAR,0.1,top-middle-square,downstream_performance_mean,F1_macro,0.6712906098984806,0.0,0.6698606170646147,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MCAR - 0.1
109,KNN,137,MCAR,0.3,top-middle-square,downstream_performance_mean,F1_macro,0.6629352329172311,0.0,0.6640623959293487,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MCAR - 0.3
111,Mean/Mode,137,MCAR,0.5,top-middle-square,downstream_performance_mean,F1_macro,0.6655032721649599,0.0,0.6630883947024018,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MCAR - 0.5
112,Mean/Mode,137,MNAR,0.01,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MNAR - 0.01
114,Mean/Mode,137,MNAR,0.1,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MNAR - 0.1
116,Mean/Mode,137,MNAR,0.3,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MNAR - 0.3
118,Mean/Mode,137,MNAR,0.5,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MNAR - 0.5
121,Mean/Mode,151,MAR,0.01,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MAR - 0.01
