,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank,Data_Constellation
74,Mean/Mode,32,MAR,0.1,input4,downstream_performance_mean,Classification Tasks,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MAR - 0.1
76,Mean/Mode,32,MAR,0.3,input4,downstream_performance_mean,Classification Tasks,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MAR - 0.3
78,Mean/Mode,32,MAR,0.5,input4,downstream_performance_mean,Classification Tasks,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MAR - 0.5
80,KNN,32,MCAR,0.01,input4,downstream_performance_mean,Classification Tasks,0.9321427108258497,0.0,0.9326152383752564,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MCAR - 0.01
82,Mean/Mode,32,MCAR,0.1,input4,downstream_performance_mean,Classification Tasks,0.9223317893713346,0.0,0.9218121488882858,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MCAR - 0.1
84,Mean/Mode,32,MCAR,0.3,input4,downstream_performance_mean,Classification Tasks,0.911538987379624,0.0,0.9102865628827328,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MCAR - 0.3
86,Mean/Mode,32,MCAR,0.5,input4,downstream_performance_mean,Classification Tasks,0.904075298439453,0.0,0.9034837717056344,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MCAR - 0.5
88,Mean/Mode,32,MNAR,0.01,input4,downstream_performance_mean,Classification Tasks,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MNAR - 0.01
90,Mean/Mode,32,MNAR,0.1,input4,downstream_performance_mean,Classification Tasks,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MNAR - 0.1
92,Mean/Mode,32,MNAR,0.3,input4,downstream_performance_mean,Classification Tasks,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MNAR - 0.3
94,Mean/Mode,32,MNAR,0.5,input4,downstream_performance_mean,Classification Tasks,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MNAR - 0.5
96,Mean/Mode,137,MAR,0.01,top-middle-square,downstream_performance_mean,Classification Tasks,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MAR - 0.01
98,Mean/Mode,137,MAR,0.1,top-middle-square,downstream_performance_mean,Classification Tasks,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MAR - 0.1
100,Mean/Mode,137,MAR,0.3,top-middle-square,downstream_performance_mean,Classification Tasks,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MAR - 0.3
102,Mean/Mode,137,MAR,0.5,top-middle-square,downstream_performance_mean,Classification Tasks,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MAR - 0.5
104,Mean/Mode,137,MCAR,0.01,top-middle-square,downstream_performance_mean,Classification Tasks,0.6696690302878038,0.0,0.669627458965632,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MCAR - 0.01
106,KNN,137,MCAR,0.1,top-middle-square,downstream_performance_mean,Classification Tasks,0.6675359381419876,0.0,0.6658748825506507,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MCAR - 0.1
108,Mean/Mode,137,MCAR,0.3,top-middle-square,downstream_performance_mean,Classification Tasks,0.6620729371119616,0.0,0.6634838250905485,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MCAR - 0.3
110,KNN,137,MCAR,0.5,top-middle-square,downstream_performance_mean,Classification Tasks,0.6654090645315003,0.0,0.6626666218858709,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MCAR - 0.5
112,Mean/Mode,137,MNAR,0.01,top-middle-square,downstream_performance_mean,Classification Tasks,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MNAR - 0.01
114,Mean/Mode,137,MNAR,0.1,top-middle-square,downstream_performance_mean,Classification Tasks,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MNAR - 0.1
116,Mean/Mode,137,MNAR,0.3,top-middle-square,downstream_performance_mean,Classification Tasks,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MNAR - 0.3
118,Mean/Mode,137,MNAR,0.5,top-middle-square,downstream_performance_mean,Classification Tasks,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0,MNAR - 0.5
120,KNN,151,MAR,0.01,nswprice,downstream_performance_mean,Classification Tasks,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MAR - 0.01
122,KNN,151,MAR,0.1,nswprice,downstream_performance_mean,Classification Tasks,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MAR - 0.1
124,KNN,151,MAR,0.3,nswprice,downstream_performance_mean,Classification Tasks,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MAR - 0.3
126,KNN,151,MAR,0.5,nswprice,downstream_performance_mean,Classification Tasks,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MAR - 0.5
128,Mean/Mode,151,MCAR,0.01,nswprice,downstream_performance_mean,Classification Tasks,0.7467063248179082,0.0,0.7468436008469981,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MCAR - 0.01
130,Mean/Mode,151,MCAR,0.1,nswprice,downstream_performance_mean,Classification Tasks,0.7485778656169453,0.0,0.7478819805805418,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MCAR - 0.1
132,Mean/Mode,151,MCAR,0.3,nswprice,downstream_performance_mean,Classification Tasks,0.738525648034614,0.0,0.7403772737510899,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MCAR - 0.3
134,Mean/Mode,151,MCAR,0.5,nswprice,downstream_performance_mean,Classification Tasks,0.7325347266471263,0.0,0.7328572686742517,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MCAR - 0.5
136,KNN,151,MNAR,0.01,nswprice,downstream_performance_mean,Classification Tasks,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MNAR - 0.01
138,KNN,151,MNAR,0.1,nswprice,downstream_performance_mean,Classification Tasks,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MNAR - 0.1
140,KNN,151,MNAR,0.3,nswprice,downstream_performance_mean,Classification Tasks,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MNAR - 0.3
142,KNN,151,MNAR,0.5,nswprice,downstream_performance_mean,Classification Tasks,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MNAR - 0.5
144,Mean/Mode,183,MAR,0.01,Length,downstream_performance_mean,Classification Tasks,0.100344558366524,0.0,0.1001933473353255,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MAR - 0.01
146,Mean/Mode,183,MAR,0.1,Length,downstream_performance_mean,Classification Tasks,0.100344558366524,0.0,0.1001933473353255,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MAR - 0.1
148,Mean/Mode,183,MAR,0.3,Length,downstream_performance_mean,Classification Tasks,0.100344558366524,0.0,0.1001933473353255,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MAR - 0.3
150,Mean/Mode,183,MAR,0.5,Length,downstream_performance_mean,Classification Tasks,0.100344558366524,0.0,0.1001933473353255,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MAR - 0.5
152,KNN,183,MCAR,0.01,Length,downstream_performance_mean,Classification Tasks,0.1098058258059554,0.0,0.1179515137084781,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MCAR - 0.01
154,Mean/Mode,183,MCAR,0.1,Length,downstream_performance_mean,Classification Tasks,0.1229789936866276,0.0,0.1306182000058318,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MCAR - 0.1
156,Mean/Mode,183,MCAR,0.3,Length,downstream_performance_mean,Classification Tasks,0.0963259244425432,0.0,0.0928755911739379,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MCAR - 0.3
158,Mean/Mode,183,MCAR,0.5,Length,downstream_performance_mean,Classification Tasks,0.0804223513636378,0.0,0.0768757488359866,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MCAR - 0.5
160,Mean/Mode,183,MNAR,0.01,Length,downstream_performance_mean,Classification Tasks,0.100344558366524,0.0,0.1001933473353255,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MNAR - 0.01
162,Mean/Mode,183,MNAR,0.1,Length,downstream_performance_mean,Classification Tasks,0.100344558366524,0.0,0.1001933473353255,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MNAR - 0.1
164,Mean/Mode,183,MNAR,0.3,Length,downstream_performance_mean,Classification Tasks,0.100344558366524,0.0,0.1001933473353255,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MNAR - 0.3
166,Mean/Mode,183,MNAR,0.5,Length,downstream_performance_mean,Classification Tasks,0.100344558366524,0.0,0.1001933473353255,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MNAR - 0.5
168,KNN,184,MAR,0.01,black_king_col,downstream_performance_mean,Classification Tasks,0.3002471278495843,0.0,0.3001885893781608,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MAR - 0.01
170,KNN,184,MAR,0.1,black_king_col,downstream_performance_mean,Classification Tasks,0.3002471278495843,0.0,0.3001885893781608,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MAR - 0.1
172,KNN,184,MAR,0.3,black_king_col,downstream_performance_mean,Classification Tasks,0.3002471278495843,0.0,0.3001885893781608,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MAR - 0.3
174,KNN,184,MAR,0.5,black_king_col,downstream_performance_mean,Classification Tasks,0.3002471278495843,0.0,0.3001885893781608,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MAR - 0.5
176,KNN,184,MCAR,0.01,black_king_col,downstream_performance_mean,Classification Tasks,0.2934988638914402,0.0,0.2940526704489621,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MCAR - 0.01
178,KNN,184,MCAR,0.1,black_king_col,downstream_performance_mean,Classification Tasks,0.2832129279576936,0.0,0.2849837780696493,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MCAR - 0.1
180,Mean/Mode,184,MCAR,0.3,black_king_col,downstream_performance_mean,Classification Tasks,0.2477072599854347,0.0,0.2545829468592832,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MCAR - 0.3
182,KNN,184,MCAR,0.5,black_king_col,downstream_performance_mean,Classification Tasks,0.2412673277706662,0.0,0.2484659813251022,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MCAR - 0.5
184,KNN,184,MNAR,0.01,black_king_col,downstream_performance_mean,Classification Tasks,0.3002471278495843,0.0,0.3001885893781608,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MNAR - 0.01
